station_id,station_name,lat,lon,bucket_start,detection_count,window_label
10200,10200 PUC,45.459713,-122.738899,2026-06-26 05:32:00-07:00,1,2026-06-26_sunrise
10384,BirdNET-Pi - 5Oaks,45.525,-122.8443,2026-06-26 06:06:00-07:00,1,2026-06-26_sunrise
10757,PUC-10757,45.412701,-122.660622,2026-06-26 05:00:00-07:00,26,2026-06-26_sunrise
10757,PUC-10757,45.412701,-122.660622,2026-06-26 05:02:00-07:00,12,2026-06-26_sunrise
10757,PUC-10757,45.412701,-122.660622,2026-06-26 05:04:00-07:00,14,2026-06-26_sunrise
10757,PUC-10757,45.412701,-122.660622,2026-06-26 05:06:00-07:00,25,2026-06-26_sunrise
10757,PUC-10757,45.412701,-122.660622,2026-06-26 05:08:00-07:00,16,2026-06-26_sunrise
10757,PUC-10757,45.412701,-122.660622,2026-06-26 05:10:00-07:00,11,2026-06-26_sunrise
10757,PUC-10757,45.412701,-122.660622,2026-06-26 05:12:00-07:00,9,2026-06-26_sunrise
10757,PUC-10757,45.412701,-122.660622,2026-06-26 05:14:00-07:00,18,2026-06-26_sunrise
10757,PUC-10757,45.412701,-122.660622,2026-06-26 05:16:00-07:00,3,2026-06-26_sunrise
10757,PUC-10757,45.412701,-122.660622,2026-06-26 05:18:00-07:00,1,2026-06-26_sunrise
10757,PUC-10757,45.412701,-122.660622,2026-06-26 05:20:00-07:00,2,2026-06-26_sunrise
10757,PUC-10757,45.412701,-122.660622,2026-06-26 05:22:00-07:00,3,2026-06-26_sunrise
10757,PUC-10757,45.412701,-122.660622,2026-06-26 05:24:00-07:00,1,2026-06-26_sunrise
10757,PUC-10757,45.412701,-122.660622,2026-06-26 05:26:00-07:00,5,2026-06-26_sunrise
10757,PUC-10757,45.412701,-122.660622,2026-06-26 05:28:00-07:00,1,2026-06-26_sunrise
10757,PUC-10757,45.412701,-122.660622,2026-06-26 05:30:00-07:00,4,2026-06-26_sunrise
10757,PUC-10757,45.412701,-122.660622,2026-06-26 05:40:00-07:00,4,2026-06-26_sunrise
10757,PUC-10757,45.412701,-122.660622,2026-06-26 06:02:00-07:00,4,2026-06-26_sunrise
10757,PUC-10757,45.412701,-122.660622,2026-06-26 06:06:00-07:00,3,2026-06-26_sunrise
11031,PUC-11031,45.4966,-122.7352,2026-06-26 05:50:00-07:00,1,2026-06-26_sunrise
11031,PUC-11031,45.4966,-122.7352,2026-06-26 06:18:00-07:00,1,2026-06-26_sunrise
11031,PUC-11031,45.4966,-122.7352,2026-06-26 06:20:00-07:00,3,2026-06-26_sunrise
11120,DE PUC-11120,45.498081,-122.772392,2026-06-26 05:32:00-07:00,1,2026-06-26_sunrise
11120,DE PUC-11120,45.498081,-122.772392,2026-06-26 05:34:00-07:00,1,2026-06-26_sunrise
11120,DE PUC-11120,45.498081,-122.772392,2026-06-26 05:40:00-07:00,4,2026-06-26_sunrise
11120,DE PUC-11120,45.498081,-122.772392,2026-06-26 05:46:00-07:00,3,2026-06-26_sunrise
11120,DE PUC-11120,45.498081,-122.772392,2026-06-26 06:02:00-07:00,1,2026-06-26_sunrise
11120,DE PUC-11120,45.498081,-122.772392,2026-06-26 06:06:00-07:00,6,2026-06-26_sunrise
11831,BirdNET-Pi - birdpark,45.44528683827487,-122.83131676737068,2026-06-26 06:12:00-07:00,1,2026-06-26_sunrise
11831,BirdNET-Pi - birdpark,45.44528683827487,-122.83131676737068,2026-06-26 06:18:00-07:00,1,2026-06-26_sunrise
11831,BirdNET-Pi - birdpark,45.44528683827487,-122.83131676737068,2026-06-26 06:20:00-07:00,1,2026-06-26_sunrise
12040,PUC-12040,45.513695,-122.631065,2026-06-26 04:40:00-07:00,1,2026-06-26_sunrise
12040,PUC-12040,45.513695,-122.631065,2026-06-26 04:44:00-07:00,2,2026-06-26_sunrise
12040,PUC-12040,45.513695,-122.631065,2026-06-26 04:48:00-07:00,3,2026-06-26_sunrise
12040,PUC-12040,45.513695,-122.631065,2026-06-26 04:52:00-07:00,3,2026-06-26_sunrise
12040,PUC-12040,45.513695,-122.631065,2026-06-26 04:54:00-07:00,4,2026-06-26_sunrise
12040,PUC-12040,45.513695,-122.631065,2026-06-26 04:58:00-07:00,5,2026-06-26_sunrise
12040,PUC-12040,45.513695,-122.631065,2026-06-26 05:04:00-07:00,1,2026-06-26_sunrise
12040,PUC-12040,45.513695,-122.631065,2026-06-26 05:14:00-07:00,1,2026-06-26_sunrise
12040,PUC-12040,45.513695,-122.631065,2026-06-26 05:56:00-07:00,1,2026-06-26_sunrise
12040,PUC-12040,45.513695,-122.631065,2026-06-26 05:58:00-07:00,2,2026-06-26_sunrise
13320,PUC-13320:  Duck Pond,45.4564,-122.8472,2026-06-26 05:26:00-07:00,1,2026-06-26_sunrise
13320,PUC-13320:  Duck Pond,45.4564,-122.8472,2026-06-26 05:44:00-07:00,2,2026-06-26_sunrise
14064,Kat’s Garden,45.553394,-122.617493,2026-06-26 04:50:00-07:00,3,2026-06-26_sunrise
14064,Kat’s Garden,45.553394,-122.617493,2026-06-26 04:54:00-07:00,2,2026-06-26_sunrise
14064,Kat’s Garden,45.553394,-122.617493,2026-06-26 05:10:00-07:00,1,2026-06-26_sunrise
14064,Kat’s Garden,45.553394,-122.617493,2026-06-26 05:18:00-07:00,1,2026-06-26_sunrise
14064,Kat’s Garden,45.553394,-122.617493,2026-06-26 06:12:00-07:00,3,2026-06-26_sunrise
14064,Kat’s Garden,45.553394,-122.617493,2026-06-26 06:18:00-07:00,9,2026-06-26_sunrise
14449,RockinRobin,45.497349,-122.692619,2026-06-26 04:54:00-07:00,3,2026-06-26_sunrise
14449,RockinRobin,45.497349,-122.692619,2026-06-26 05:26:00-07:00,1,2026-06-26_sunrise
15200,Schwarkhaus,45.456039,-122.729912,2026-06-26 05:20:00-07:00,1,2026-06-26_sunrise
15200,Schwarkhaus,45.456039,-122.729912,2026-06-26 05:22:00-07:00,4,2026-06-26_sunrise
15200,Schwarkhaus,45.456039,-122.729912,2026-06-26 05:30:00-07:00,1,2026-06-26_sunrise
15200,Schwarkhaus,45.456039,-122.729912,2026-06-26 05:32:00-07:00,1,2026-06-26_sunrise
15200,Schwarkhaus,45.456039,-122.729912,2026-06-26 05:36:00-07:00,1,2026-06-26_sunrise
15200,Schwarkhaus,45.456039,-122.729912,2026-06-26 05:42:00-07:00,1,2026-06-26_sunrise
15200,Schwarkhaus,45.456039,-122.729912,2026-06-26 06:16:00-07:00,1,2026-06-26_sunrise
15200,Schwarkhaus,45.456039,-122.729912,2026-06-26 06:18:00-07:00,1,2026-06-26_sunrise
15311,PUC-15311,45.5262,-122.7172,2026-06-26 05:04:00-07:00,1,2026-06-26_sunrise
15311,PUC-15311,45.5262,-122.7172,2026-06-26 05:10:00-07:00,1,2026-06-26_sunrise
15319,PUC-15319,45.542252,-122.886253,2026-06-26 05:24:00-07:00,4,2026-06-26_sunrise
15440,PUC-15440,45.444805,-122.489433,2026-06-26 05:02:00-07:00,1,2026-06-26_sunrise
15478,PUC-15478 Carrigg,45.4768,-122.6008,2026-06-26 04:58:00-07:00,1,2026-06-26_sunrise
15478,PUC-15478 Carrigg,45.4768,-122.6008,2026-06-26 05:06:00-07:00,1,2026-06-26_sunrise
15478,PUC-15478 Carrigg,45.4768,-122.6008,2026-06-26 05:10:00-07:00,1,2026-06-26_sunrise
15478,PUC-15478 Carrigg,45.4768,-122.6008,2026-06-26 05:12:00-07:00,2,2026-06-26_sunrise
15478,PUC-15478 Carrigg,45.4768,-122.6008,2026-06-26 05:14:00-07:00,1,2026-06-26_sunrise
15478,PUC-15478 Carrigg,45.4768,-122.6008,2026-06-26 05:16:00-07:00,2,2026-06-26_sunrise
15478,PUC-15478 Carrigg,45.4768,-122.6008,2026-06-26 05:32:00-07:00,1,2026-06-26_sunrise
15478,PUC-15478 Carrigg,45.4768,-122.6008,2026-06-26 06:14:00-07:00,1,2026-06-26_sunrise
15530,Arnold Creek,45.446354,-122.700302,2026-06-26 05:14:00-07:00,3,2026-06-26_sunrise
15530,Arnold Creek,45.446354,-122.700302,2026-06-26 05:16:00-07:00,1,2026-06-26_sunrise
15530,Arnold Creek,45.446354,-122.700302,2026-06-26 05:18:00-07:00,3,2026-06-26_sunrise
15530,Arnold Creek,45.446354,-122.700302,2026-06-26 05:46:00-07:00,1,2026-06-26_sunrise
15530,Arnold Creek,45.446354,-122.700302,2026-06-26 05:48:00-07:00,4,2026-06-26_sunrise
15697,PUC-15697,45.589752,-122.513405,2026-06-26 05:26:00-07:00,2,2026-06-26_sunrise
15831,PUC-15831,45.471882,-122.702248,2026-06-26 05:40:00-07:00,3,2026-06-26_sunrise
15908,BirdNET-Pi - ScrubJay FM,45.5595,-122.6172,2026-06-26 04:58:00-07:00,1,2026-06-26_sunrise
15908,BirdNET-Pi - ScrubJay FM,45.5595,-122.6172,2026-06-26 05:18:00-07:00,3,2026-06-26_sunrise
15908,BirdNET-Pi - ScrubJay FM,45.5595,-122.6172,2026-06-26 05:24:00-07:00,1,2026-06-26_sunrise
15908,BirdNET-Pi - ScrubJay FM,45.5595,-122.6172,2026-06-26 05:32:00-07:00,3,2026-06-26_sunrise
15908,BirdNET-Pi - ScrubJay FM,45.5595,-122.6172,2026-06-26 05:48:00-07:00,1,2026-06-26_sunrise
15908,BirdNET-Pi - ScrubJay FM,45.5595,-122.6172,2026-06-26 05:50:00-07:00,2,2026-06-26_sunrise
15908,BirdNET-Pi - ScrubJay FM,45.5595,-122.6172,2026-06-26 05:54:00-07:00,1,2026-06-26_sunrise
16264,PUC-16264,45.616619,-122.709549,2026-06-26 05:06:00-07:00,2,2026-06-26_sunrise
16264,PUC-16264,45.616619,-122.709549,2026-06-26 05:24:00-07:00,2,2026-06-26_sunrise
16397,BirdNET-Pi - HC Birdnet Irvington,45.5446,-122.6486,2026-06-26 04:48:00-07:00,2,2026-06-26_sunrise
16397,BirdNET-Pi - HC Birdnet Irvington,45.5446,-122.6486,2026-06-26 04:58:00-07:00,2,2026-06-26_sunrise
16397,BirdNET-Pi - HC Birdnet Irvington,45.5446,-122.6486,2026-06-26 05:02:00-07:00,4,2026-06-26_sunrise
16397,BirdNET-Pi - HC Birdnet Irvington,45.5446,-122.6486,2026-06-26 05:04:00-07:00,7,2026-06-26_sunrise
16397,BirdNET-Pi - HC Birdnet Irvington,45.5446,-122.6486,2026-06-26 05:06:00-07:00,1,2026-06-26_sunrise
16397,BirdNET-Pi - HC Birdnet Irvington,45.5446,-122.6486,2026-06-26 05:08:00-07:00,2,2026-06-26_sunrise
16397,BirdNET-Pi - HC Birdnet Irvington,45.5446,-122.6486,2026-06-26 05:24:00-07:00,3,2026-06-26_sunrise
17093,WISE-BIRD,45.436504,-122.812256,2026-06-26 05:32:00-07:00,1,2026-06-26_sunrise
17093,WISE-BIRD,45.436504,-122.812256,2026-06-26 05:50:00-07:00,2,2026-06-26_sunrise
17093,WISE-BIRD,45.436504,-122.812256,2026-06-26 06:04:00-07:00,1,2026-06-26_sunrise
17093,WISE-BIRD,45.436504,-122.812256,2026-06-26 06:12:00-07:00,3,2026-06-26_sunrise
17391,PUC-17391,45.430477,-122.682686,2026-06-26 05:04:00-07:00,1,2026-06-26_sunrise
19348,Woodstock PUC,45.4904,-122.6224,2026-06-26 06:14:00-07:00,1,2026-06-26_sunrise
19663,PUC-Kpop,45.544498,-122.632431,2026-06-26 04:54:00-07:00,2,2026-06-26_sunrise
19663,PUC-Kpop,45.544498,-122.632431,2026-06-26 04:58:00-07:00,1,2026-06-26_sunrise
19663,PUC-Kpop,45.544498,-122.632431,2026-06-26 05:00:00-07:00,2,2026-06-26_sunrise
19663,PUC-Kpop,45.544498,-122.632431,2026-06-26 05:04:00-07:00,1,2026-06-26_sunrise
19663,PUC-Kpop,45.544498,-122.632431,2026-06-26 05:10:00-07:00,1,2026-06-26_sunrise
19663,PUC-Kpop,45.544498,-122.632431,2026-06-26 05:16:00-07:00,1,2026-06-26_sunrise
19663,PUC-Kpop,45.544498,-122.632431,2026-06-26 05:18:00-07:00,1,2026-06-26_sunrise
19663,PUC-Kpop,45.544498,-122.632431,2026-06-26 05:38:00-07:00,1,2026-06-26_sunrise
19663,PUC-Kpop,45.544498,-122.632431,2026-06-26 05:44:00-07:00,5,2026-06-26_sunrise
19704,BirdNET-Pi - summerlake-area,45.435054779052734,-122.81214904785156,2026-06-26 05:04:00-07:00,1,2026-06-26_sunrise
19704,BirdNET-Pi - summerlake-area,45.435054779052734,-122.81214904785156,2026-06-26 05:30:00-07:00,3,2026-06-26_sunrise
19704,BirdNET-Pi - summerlake-area,45.435054779052734,-122.81214904785156,2026-06-26 05:50:00-07:00,1,2026-06-26_sunrise
19704,BirdNET-Pi - summerlake-area,45.435054779052734,-122.81214904785156,2026-06-26 05:58:00-07:00,3,2026-06-26_sunrise
20362,Buddha,45.5244,-122.8548,2026-06-26 05:12:00-07:00,1,2026-06-26_sunrise
20362,Buddha,45.5244,-122.8548,2026-06-26 05:36:00-07:00,3,2026-06-26_sunrise
22564,BirdNET-Pi - Roseway,45.55251922024209,-122.58855441582088,2026-06-26 05:04:00-07:00,1,2026-06-26_sunrise
22564,BirdNET-Pi - Roseway,45.55251922024209,-122.58855441582088,2026-06-26 05:52:00-07:00,1,2026-06-26_sunrise
22564,BirdNET-Pi - Roseway,45.55251922024209,-122.58855441582088,2026-06-26 05:54:00-07:00,1,2026-06-26_sunrise
22613,BirdNET-Pi - Enigma,45.4968645,-122.6071697,2026-06-26 05:02:00-07:00,1,2026-06-26_sunrise
22613,BirdNET-Pi - Enigma,45.4968645,-122.6071697,2026-06-26 05:16:00-07:00,1,2026-06-26_sunrise
22613,BirdNET-Pi - Enigma,45.4968645,-122.6071697,2026-06-26 05:20:00-07:00,4,2026-06-26_sunrise
22613,BirdNET-Pi - Enigma,45.4968645,-122.6071697,2026-06-26 05:34:00-07:00,2,2026-06-26_sunrise
22613,BirdNET-Pi - Enigma,45.4968645,-122.6071697,2026-06-26 05:58:00-07:00,1,2026-06-26_sunrise
22613,BirdNET-Pi - Enigma,45.4968645,-122.6071697,2026-06-26 06:00:00-07:00,3,2026-06-26_sunrise
22613,BirdNET-Pi - Enigma,45.4968645,-122.6071697,2026-06-26 06:02:00-07:00,1,2026-06-26_sunrise
22613,BirdNET-Pi - Enigma,45.4968645,-122.6071697,2026-06-26 06:08:00-07:00,1,2026-06-26_sunrise
22613,BirdNET-Pi - Enigma,45.4968645,-122.6071697,2026-06-26 06:12:00-07:00,1,2026-06-26_sunrise
22613,BirdNET-Pi - Enigma,45.4968645,-122.6071697,2026-06-26 06:14:00-07:00,5,2026-06-26_sunrise
22613,BirdNET-Pi - Enigma,45.4968645,-122.6071697,2026-06-26 06:16:00-07:00,5,2026-06-26_sunrise
22613,BirdNET-Pi - Enigma,45.4968645,-122.6071697,2026-06-26 06:18:00-07:00,1,2026-06-26_sunrise
22705,BirdNET-Pi - Goldfinch FM,45.5500429,-122.6763278,2026-06-26 05:42:00-07:00,1,2026-06-26_sunrise
22705,BirdNET-Pi - Goldfinch FM,45.5500429,-122.6763278,2026-06-26 05:44:00-07:00,1,2026-06-26_sunrise
22998,Charles ,45.536407,-122.874947,2026-06-26 05:12:00-07:00,4,2026-06-26_sunrise
22998,Charles ,45.536407,-122.874947,2026-06-26 05:14:00-07:00,11,2026-06-26_sunrise
22998,Charles ,45.536407,-122.874947,2026-06-26 05:16:00-07:00,9,2026-06-26_sunrise
